featureType,xCoordinate,yCoordinate,ID
0,9826.303006444814,2999.2524167641845,4764
0,9816.267664315144,2989.2350882126293,4832
0,9816.267664315144,2989.2350882126293,4829
0,9816.267664315144,2989.2350882126293,4825
0,9816.267664315144,2989.2350882126293,4824
0,9816.267664315144,2989.2350882126293,4834
0,9531.685487799385,2962.701643621778,4620
0,9814.866830629277,2998.4585961828693,5118
0,9816.267664315144,2989.2350882126293,5076
0,9815.576587846046,2997.902732744573,5092
0,9815.02795207798,2998.5329855887944,5207
0,9814.866830629277,2998.4585961828693,5206
0,9459.435472262816,2962.07127958263,4952
0,9819.690244157262,2987.409934686686,4939
0,9806.023386918308,2989.537760802956,4927
0,9805.45885027573,2990.5869961307744,4925
0,9815.3047162504,3007.413123625556,4504
0,9815.3047162504,3007.413123625556,4503
0,9811.972760273497,2977.9137767563134,4500
0,9816.267664315144,2989.2350882126293,4493
0,9815.3047162504,3007.413123625556,4523
0,9815.3047162504,3007.413123625556,4521
0,9508.10415731602,2973.586181406234,4407
0,9627.594336683189,2944.664825765691,4349
0,9513.972469569686,2998.040948038392,116
0,9616.507868911944,2970.757827252103,117
0,9019.70546088829,3171.070928610283,120
0,9549.781572551374,2991.118841464915,89
0,9451.570766296172,3005.9762627834543,90
0,9541.58150268597,2988.54412293846,91
0,9547.941963684963,2974.4840804388887,121
0,9225.0662559415,3075.4061525904635,93
0,9640.754589836351,2959.7044955690008,95
0,9640.754589836351,2959.7044955690008,97
0,9640.754589836351,2959.7044955690008,98
0,9640.754589836351,2959.7044955690008,99
0,9305.468749914868,3060.6001033280336,124
0,9704.92440363844,2941.4845396687297,146
0,9704.92440363844,2941.4845396687297,148
0,9704.92440363844,2941.4845396687297,149
0,9301.45561381734,3066.7560768569297,150
0,9281.611656013423,3055.371050707646,151
0,9433.971945256137,3005.305534985934,152
0,9704.92440363844,2941.4845396687297,154
0,9091.864185390084,3130.2370380884554,155
0,9448.274726280575,3017.252095514772,156
0,9091.864185390084,3130.2370380884554,157
0,9640.830424776324,2959.6030857959013,160
0,9215.464574025744,3064.858980213447,153
0,9234.741215313916,3063.464707028252,141
0,8980.744982490569,3322.638954000655,125
0,9043.867896058297,3139.275851285538,126
0,9328.161410544488,3074.671932489829,128
0,9316.597471758234,3054.158692422441,129
0,9588.3080571504,2958.906227190619,131
0,9239.8550699903,3067.725807812197,142
0,9436.821204056478,3007.241216268963,134
0,9436.821204056478,3007.241216268963,135
0,9436.821204056478,3007.241216268963,136
0,8998.913677529656,3167.312540089697,138
0,9234.741215313916,3063.464707028252,140
0,9436.821204056478,3007.241216268963,133
0,9271.315005806138,3071.918190131477,161
0,9640.754589836351,2959.7044955690008,84
0,9513.429949522588,2987.0051851537,82
0,9429.333004111451,3012.262556766378,29
0,8978.99421837055,3326.597048609495,30
0,9436.28891394263,3001.493105730999,31
0,9571.968185069834,2983.0200701776853,37
0,9571.968185069834,2983.0200701776853,38
0,9571.968185069834,2983.0200701776853,39
0,9564.115488155268,2983.9210826682856,40
0,9564.115488155268,2983.9210826682856,41
0,9786.248481163835,2981.128422085608,25
