featureType,latitude,longitude,xCoordinate,yCoordinate
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,28.383435,82.648299,9190.071544602555,3156.0939727456007
0,28.383435,82.648299,9190.071544602555,3156.0939727456007
0,28.743442,82.475276,9170.832264809736,3196.1249247021287
0,28.735902,82.480861,9171.453288475046,3195.2865149552285
0,28.743442,82.475276,9170.832264809736,3196.1249247021287
0,27.930484,82.330002,9154.678533036373,3105.7281195270216
0,29.20596,81.504777,9062.917699696118,3247.554579783917
0,26.940018,85.270074,9481.599623406097,2995.593325313092
0,28.032423,82.523319,9176.17440267052,3117.0632191542413
0,28.51686,81.778256,9093.327177039946,3170.9301558331517
0,27.389926,86.062309,9569.692136116346,3045.620812369892
0,27.422722,85.033015,9455.239865290663,3049.2675611841278
0,26.978964,85.530644,9510.573685441868,2999.923922926191
0,27.163717,85.06078,9458.327192428947,3020.467519208553
0,26.950221,85.149875,9468.234104418343,2996.727847149646
0,26.92997,85.220003,9476.031982234075,2994.476038690168
0,26.795856,86.296866,9595.773684525317,2979.563242298159
0,26.795856,86.296866,9595.773684525317,2979.563242298159
0,26.795856,86.296866,9595.773684525317,2979.563242298159
0,26.73267,85.924789,9554.400609804188,2972.537279663196
0,26.73267,85.924789,9554.400609804188,2972.537279663196
0,26.73218,85.924969,9554.420624890983,2972.4827941491403
0,26.795856,86.296866,9595.773684525317,2979.563242298159
0,26.795856,86.296866,9595.773684525317,2979.563242298159
0,26.809932,88.009847,9786.248481163835,2981.128422085608
0,28.383435,82.648299,9190.071544602555,3156.0939727456007
0,27.688526,83.305518,9263.150963096969,3078.8236174659573
0,28.046731,82.804809,9207.474662571698,3118.654196164672
0,27.089928,84.800029,9429.333004111451,3012.262556766378
0,29.916806,80.750035,8978.99421837055,3326.597048609495
0,26.993076,84.862585,9436.28891394263,3001.493105730999
0,27.959441,84.895897,9439.993039339017,3108.947991017868
0,27.971136,84.898478,9440.280033444684,3110.248415684976
0,29.716389,80.770278,8981.245137270616,3304.311694996172
0,28.728056,80.915833,8997.430114818366,3194.414079560775
0,28.728056,80.915833,8997.430114818366,3194.414079560775
0,26.826944,86.082778,9571.968185069834,2983.0200701776853
0,26.826944,86.082778,9571.968185069834,2983.0200701776853
0,26.826944,86.082778,9571.968185069834,2983.0200701776853
0,26.835047,86.012157,9564.115488155268,2983.9210826682856
0,26.835047,86.012157,9564.115488155268,2983.9210826682856
0,26.832262,86.013557,9564.271161052571,2983.611404797581
0,26.832262,86.013557,9564.271161052571,2983.611404797581
0,26.832262,86.013557,9564.271161052571,2983.611404797581
0,26.832262,86.013557,9564.271161052571,2983.611404797581
0,26.832262,86.013557,9564.271161052571,2983.611404797581
0,26.832262,86.013557,9564.271161052571,2983.611404797581
0,27.227503,86.822034,9654.169701761386,3027.5601987995024
0,26.933054,85.280007,9482.704122612457,2994.8189638439394
0,26.877542,85.2892,9483.726337573098,2988.6463110760465
0,28.172733,85.313622,9486.441940071612,3132.6649793117394
0,28.050273,84.976115,9448.912873964586,3119.048048594847
0,27.519453,85.938401,9555.914195145671,3060.0235576333816
0,27.922414,85.259832,9480.460764967402,3104.830776469
0,26.98394,84.958433,9446.946725271657,3000.477228881174
0,29.916806,80.750035,8978.99421837055,3326.597048609495
0,27.219085,86.796213,9651.298537560497,3026.624159907009
0,26.575114,86.754323,9646.640582083355,2955.017851800786
0,26.590967,86.677702,9638.120715608922,2956.780624972882
0,27.264074,87.24193,9700.860006679728,3031.626708461821
0,27.264074,87.24193,9700.860006679728,3031.626708461821
0,26.461968,87.491294,9728.588018367522,2942.4365906306607
0,26.840112,86.219904,9587.215900580895,2984.4842849717406
0,26.876623,85.809504,9541.58150268597,2988.54412293846
0,27.173588,84.856793,9435.644872927503,3021.565124329461
0,26.469799,87.159869,9691.73523980435,2943.307358101214
0,27.061411,85.072936,9459.67887795724,3009.091611043255
0,27.117016,85.741699,9534.041930684834,3015.2746049393254
0,26.666619,87.28324,9705.453469099417,2965.192743563396
0,26.876623,85.809504,9541.58150268597,2988.54412293846
0,26.63982,87.894245,9773.394125253872,2962.2128307242488
0,26.609881,86.480119,9616.15048841771,2958.883765815437
0,27.648642,84.132959,9355.158204394667,3074.3887190116657
0,26.931094,85.204176,9474.272100130072,2994.601021787716
0,26.540301,86.748377,9645.979417049526,2951.146822819509
0,26.540301,86.748377,9645.979417049526,2951.146822819509
0,26.58287,86.816839,9653.592044117466,2955.880279651841
0,27.668969,85.319822,9487.13134861681,3076.6489782855697
0,27.109899,85.040117,9456.029571659692,3014.483230646396
0,27.20364,87.815672,9764.65720628263,3024.906754264984
0,26.573828,86.677085,9638.052108339183,2954.874855125121
0,26.862783,85.556331,9513.429949522588,2987.0051851537
0,26.950057,85.059899,9458.229229698576,2996.709611181677
0,26.617262,86.701389,9640.754589836351,2959.7044955690008
0,27.17711,87.051132,9679.6442370658,3021.9567528611037
0,27.708754,85.329496,9488.207048337168,3081.0728684421238
0,27.708754,85.329496,9488.207048337168,3081.0728684421238
0,27.757836,84.473606,9393.036422571358,3086.530537831692
0,26.899778,85.883249,9549.781572551374,2991.118841464915
0,27.033394,85.000018,9451.570766296172,3005.9762627834543
0,26.876623,85.809504,9541.58150268597,2988.54412293846
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.657792,82.963014,9225.0662559415,3075.4061525904635
0,27.117008,85.741687,9534.040596345716,3015.273715379912
0,26.617262,86.701389,9640.754589836351,2959.7044955690008
0,28.496883,82.520922,9175.907868431354,3168.708814783573
0,26.617262,86.701389,9640.754589836351,2959.7044955690008
0,26.617262,86.701389,9640.754589836351,2959.7044955690008
0,26.617262,86.701389,9640.754589836351,2959.7044955690008
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329498,9488.207270727022,3081.0728684421238
0,27.708754,85.329496,9488.207048337168,3081.0728684421238
0,27.742222,85.332299,9488.518727716551,3084.794340247064
0,27.708754,85.329496,9488.207048337168,3081.0728684421238
0,27.708754,85.329496,9488.207048337168,3081.0728684421238
0,27.844134,84.809994,9430.441061555466,3096.126437611264
0,27.286093,87.009635,9675.02998119483,3034.0751095516075
0,26.96203,85.56121,9513.972469569686,2998.040948038392
0,26.716667,86.483333,9616.507868911944,2970.757827252103
0,27.71674,85.325902,9487.807413770808,3081.960871126307
0,27.493003,85.824033,9543.197053775188,3057.0824518236336
0,28.518126,81.11616,9019.70546088829,3171.070928610283
0,26.750178,85.866705,9547.941963684963,2974.4840804388887
0,27.684046,85.790139,9539.428212931496,3078.3254641945896
0,29.212673,81.2187,9031.107388666422,3248.3010313264813
0,27.524638,83.686091,9305.468749914868,3060.6001033280336
0,29.88121,80.76578,8980.744982490569,3322.638954000655
0,28.232186,81.333458,9043.867896058297,3139.275851285538
0,29.14176,81.248374,9034.406986919674,3240.415865493336
0,27.651189,83.890171,9328.161410544488,3074.671932489829
0,27.466709,83.786174,9316.597471758234,3054.158692422441
0,28.630959,81.702524,9084.9061628553,3183.617385768369
0,26.610083,86.229726,9588.3080571504,2958.906227190619
0,29.72954,80.767782,8980.967594733711,3305.7740194764747
0,27.04477,84.867372,9436.821204056478,3007.241216268963
0,27.04477,84.867372,9436.821204056478,3007.241216268963
0,27.04477,84.867372,9436.821204056478,3007.241216268963
0,27.04477,84.867372,9436.821204056478,3007.241216268963
0,28.33898,83.142181,9244.988717363623,3151.150802281617
0,28.484326,80.929175,8998.913677529656,3167.312540089697
0,28.86515,82.171363,9137.038681068409,3209.6582368341847
0,27.5504,83.050023,9234.741215313916,3063.4647070282517
0,27.5504,83.050023,9234.741215313916,3063.4647070282517
0,27.588721,83.096013,9239.8550699903,3067.725807812197
0,27.822976,85.596029,9517.844165720522,3093.7737753533183
0,27.511845,86.068253,9570.353078760323,3059.17758663147
0,27.454665,84.966835,9447.880985045324,3052.819460725934
0,26.453406,87.278482,9704.92440363844,2941.4845396687297
0,27.86679,83.550091,9290.346239891209,3098.645669869323
0,26.453406,87.278482,9704.92440363844,2941.4845396687297
0,26.453406,87.278482,9704.92440363844,2941.4845396687297
0,27.58,83.65,9301.45561381734,3066.7560768569297
0,27.477612,83.471539,9281.611656013423,3055.371050707646
0,27.027362,84.841748,9433.971945256137,3005.305534985934
0,27.562939,82.876664,9215.464574025744,3064.858980213447
0,26.453406,87.278482,9704.92440363844,2941.4845396687297
0,28.150898,81.765099,9091.864185390084,3130.2370380884554
0,27.1348,84.970376,9448.274726280575,3017.252095514772
0,28.150898,81.765099,9091.864185390084,3130.2370380884554
0,27.237575,85.152416,9468.51665072695,3028.680154100666
0,27.970028,83.14344,9245.12871177627,3110.1252117062536
0,26.61635,86.702071,9640.830424776324,2959.6030857959013
0,27.626424,83.378939,9271.315005806138,3071.918190131477
0,27.134057,85.065015,9458.798102943289,3017.1694776842755
0,27.134059,85.065017,9458.798325333142,3017.1697000741287
0,26.672485,87.37611,9715.780141936895,2965.8450130030933
0,27.927511,83.533877,9288.543325350593,3105.397537010107
